"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 29 20:25:01 GMT 2025","Wed Jan 29 20:25:01 GMT 2025","420","Testing user creation flow, login, email change","","","","","Change email",""
"passed","Wed Jan 29 20:25:16 GMT 2025","Wed Jan 29 20:25:16 GMT 2025","127","Contract Test for empty user listing","","","","","List of users",""
"passed","Wed Jan 29 20:25:11 GMT 2025","Wed Jan 29 20:25:11 GMT 2025","521","Testing user creation flow, login, delete product","","","","","create a product and delete it",""
"passed","Wed Jan 29 20:25:20 GMT 2025","Wed Jan 29 20:25:20 GMT 2025","483","Testing user creation flow, login, email change and Check product","","","","","Create a product and verify that the product was created",""
"passed","Wed Jan 29 20:25:05 GMT 2025","Wed Jan 29 20:25:06 GMT 2025","470","Testing user creation flow, login, create cart","","","","","Create cart",""
