"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 27 20:11:16 GMT 2025","Mon Jan 27 20:11:21 GMT 2025","4975","Testing user creation","","","","","You must create a user without administrative access",""
"passed","Mon Jan 27 20:11:02 GMT 2025","Mon Jan 27 20:11:07 GMT 2025","4286","Products","","","","","You must authenticate and register a product",""
"passed","Mon Jan 27 20:11:09 GMT 2025","Mon Jan 27 20:11:12 GMT 2025","2601","Products","","","","","Description cannot be blank",""
"passed","Mon Jan 27 20:11:31 GMT 2025","Mon Jan 27 20:11:32 GMT 2025","1903","Login Page","","","","","should log in successfully and show ""Bem Vindo""",""
"passed","Mon Jan 27 20:11:07 GMT 2025","Mon Jan 27 20:11:09 GMT 2025","2796","Products","","","","","Name is required",""
"passed","Mon Jan 27 20:11:21 GMT 2025","Mon Jan 27 20:11:26 GMT 2025","4585","Testing user creation","","","","","You must create a user with administrative access",""
