"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 29 15:39:57 GMT 2025","Wed Jan 29 15:39:59 GMT 2025","1972","Login Page","","","","","should log in successfully and show ""Bem Vindo""",""
"passed","Wed Jan 29 15:39:33 GMT 2025","Wed Jan 29 15:39:36 GMT 2025","2845","Products","","","","","Name is required",""
"passed","Wed Jan 29 15:39:48 GMT 2025","Wed Jan 29 15:39:53 GMT 2025","4635","Testing user creation","","","","","You must create a user with administrative access",""
"passed","Wed Jan 29 15:39:29 GMT 2025","Wed Jan 29 15:39:33 GMT 2025","4148","Products","","","","","You must authenticate and register a product",""
"passed","Wed Jan 29 15:39:43 GMT 2025","Wed Jan 29 15:39:48 GMT 2025","5001","Testing user creation","","","","","You must create a user without administrative access",""
"passed","Wed Jan 29 15:39:36 GMT 2025","Wed Jan 29 15:39:39 GMT 2025","2680","Products","","","","","Description cannot be blank",""
