"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 29 20:07:25 GMT 2025","Wed Jan 29 20:07:25 GMT 2025","252","Testing user creation flow, login, email change and Check product","","","","","Create a product and verify that the product was created",""
"passed","Wed Jan 29 20:07:11 GMT 2025","Wed Jan 29 20:07:12 GMT 2025","304","Testing user creation flow, login, create cart","","","","","Create cart",""
"passed","Wed Jan 29 20:07:16 GMT 2025","Wed Jan 29 20:07:16 GMT 2025","290","Testing user creation flow, login, delete product","","","","","create a product and delete it",""
"passed","Wed Jan 29 20:07:06 GMT 2025","Wed Jan 29 20:07:07 GMT 2025","370","Testing user creation flow, login, email change","","","","","Change email",""
"passed","Wed Jan 29 20:07:21 GMT 2025","Wed Jan 29 20:07:21 GMT 2025","92","Contract Test for empty user listing","","","","","List of users",""
