"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 29 14:58:45 GMT 2025","Wed Jan 29 14:58:50 GMT 2025","5002","Testing user creation","","","","","You must create a user without administrative access",""
"passed","Wed Jan 29 14:58:31 GMT 2025","Wed Jan 29 14:58:35 GMT 2025","4506","Products","","","","","You must authenticate and register a product",""
"passed","Wed Jan 29 14:58:36 GMT 2025","Wed Jan 29 14:58:38 GMT 2025","2582","Products","","","","","Name is required",""
"passed","Wed Jan 29 14:58:38 GMT 2025","Wed Jan 29 14:58:41 GMT 2025","2553","Products","","","","","Description cannot be blank",""
"passed","Wed Jan 29 14:59:00 GMT 2025","Wed Jan 29 14:59:01 GMT 2025","1695","Login Page","","","","","should log in successfully and show ""Bem Vindo""",""
"passed","Wed Jan 29 14:58:50 GMT 2025","Wed Jan 29 14:58:55 GMT 2025","4661","Testing user creation","","","","","You must create a user with administrative access",""
