"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 29 20:12:58 GMT 2025","Wed Jan 29 20:13:03 GMT 2025","5010","Products","","","","","You must authenticate and register a product",""
"passed","Wed Jan 29 20:13:03 GMT 2025","Wed Jan 29 20:13:06 GMT 2025","2493","Products","","","","","Name is required",""
"passed","Wed Jan 29 20:13:27 GMT 2025","Wed Jan 29 20:13:28 GMT 2025","1869","Login Page","","","","","should log in successfully and show ""Bem Vindo""",""
"passed","Wed Jan 29 20:13:13 GMT 2025","Wed Jan 29 20:13:18 GMT 2025","5010","Testing user creation","","","","","You must create a user without administrative access",""
"passed","Wed Jan 29 20:13:18 GMT 2025","Wed Jan 29 20:13:22 GMT 2025","4711","Testing user creation","","","","","You must create a user with administrative access",""
"passed","Wed Jan 29 20:13:06 GMT 2025","Wed Jan 29 20:13:08 GMT 2025","2404","Products","","","","","Description cannot be blank",""
