"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jan 31 20:43:20 GMT 2025","Fri Jan 31 20:43:20 GMT 2025","23","Testing user creation","","","","","You must create a user with administrative access",""
"passed","Fri Jan 31 20:42:05 GMT 2025","Fri Jan 31 20:42:10 GMT 2025","5041","Products","","","","","You must authenticate and register a product",""
"broken","Fri Jan 31 20:42:20 GMT 2025","Fri Jan 31 20:43:20 GMT 2025","60239","Testing user creation","","","","","You must create a user without administrative access",""
"passed","Fri Jan 31 20:43:24 GMT 2025","Fri Jan 31 20:43:26 GMT 2025","2178","Login Page","","","","","should log in successfully and show ""Bem Vindo""",""
"passed","Fri Jan 31 20:42:10 GMT 2025","Fri Jan 31 20:42:13 GMT 2025","2902","Products","","","","","Name is required",""
"passed","Fri Jan 31 20:42:13 GMT 2025","Fri Jan 31 20:42:16 GMT 2025","2482","Products","","","","","Description cannot be blank",""
