"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 27 20:34:07 GMT 2025","Mon Jan 27 20:34:07 GMT 2025","437","Testing user creation flow, login, email change","","","","","Change email",""
"passed","Mon Jan 27 20:34:27 GMT 2025","Mon Jan 27 20:34:27 GMT 2025","386","Testing user creation flow, login, email change and Check product","","","","","Create a product and verify that the product was created",""
"passed","Mon Jan 27 20:34:12 GMT 2025","Mon Jan 27 20:34:12 GMT 2025","477","Testing user creation flow, login, create cart","","","","","Create cart",""
"passed","Mon Jan 27 20:34:22 GMT 2025","Mon Jan 27 20:34:22 GMT 2025","125","Contract Test for empty user listing","","","","","List of users",""
"passed","Mon Jan 27 20:34:17 GMT 2025","Mon Jan 27 20:34:17 GMT 2025","479","Testing user creation flow, login, delete product","","","","","create a product and delete it",""
