"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 27 20:52:30 GMT 2025","Mon Jan 27 20:52:32 GMT 2025","2571","Products","","","","","Name is required",""
"passed","Mon Jan 27 20:52:44 GMT 2025","Mon Jan 27 20:52:49 GMT 2025","4599","Testing user creation","","","","","You must create a user with administrative access",""
"passed","Mon Jan 27 20:52:39 GMT 2025","Mon Jan 27 20:52:44 GMT 2025","5058","Testing user creation","","","","","You must create a user without administrative access",""
"passed","Mon Jan 27 20:52:53 GMT 2025","Mon Jan 27 20:52:55 GMT 2025","1845","Login Page","","","","","should log in successfully and show ""Bem Vindo""",""
"passed","Mon Jan 27 20:52:32 GMT 2025","Mon Jan 27 20:52:35 GMT 2025","2400","Products","","","","","Description cannot be blank",""
"passed","Mon Jan 27 20:52:25 GMT 2025","Mon Jan 27 20:52:29 GMT 2025","4284","Products","","","","","You must authenticate and register a product",""
