"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 27 20:07:48 GMT 2025","Mon Jan 27 20:07:48 GMT 2025","122","Contract Test for empty user listing","","","","","List of users",""
"passed","Mon Jan 27 20:07:53 GMT 2025","Mon Jan 27 20:07:53 GMT 2025","384","Testing user creation flow, login, email change and Check product","","","","","Create a product and verify that the product was created",""
"passed","Mon Jan 27 20:07:43 GMT 2025","Mon Jan 27 20:07:44 GMT 2025","467","Testing user creation flow, login, delete product","","","","","create a product and delete it",""
"passed","Mon Jan 27 20:07:39 GMT 2025","Mon Jan 27 20:07:39 GMT 2025","454","Testing user creation flow, login, create cart","","","","","Create cart",""
"passed","Mon Jan 27 20:07:34 GMT 2025","Mon Jan 27 20:07:34 GMT 2025","443","Testing user creation flow, login, email change","","","","","Change email",""
