"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 29 13:05:59 GMT 2025","Wed Jan 29 13:06:03 GMT 2025","4612","Products","","","","","You must authenticate and register a product",""
"broken","Wed Jan 29 13:06:13 GMT 2025","Wed Jan 29 13:07:13 GMT 2025","60252","Testing user creation","","","","","You must create a user without administrative access",""
"passed","Wed Jan 29 13:07:17 GMT 2025","Wed Jan 29 13:07:19 GMT 2025","1930","Login Page","","","","","should log in successfully and show ""Bem Vindo""",""
"passed","Wed Jan 29 13:06:06 GMT 2025","Wed Jan 29 13:06:09 GMT 2025","2507","Products","","","","","Description cannot be blank",""
"skipped","Wed Jan 29 13:07:13 GMT 2025","Wed Jan 29 13:07:13 GMT 2025","22","Testing user creation","","","","","You must create a user with administrative access",""
"passed","Wed Jan 29 13:06:03 GMT 2025","Wed Jan 29 13:06:06 GMT 2025","2712","Products","","","","","Name is required",""
