"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 29 16:01:20 GMT 2025","Wed Jan 29 16:01:23 GMT 2025","2584","Products","","","","","Name is required",""
"passed","Wed Jan 29 16:01:16 GMT 2025","Wed Jan 29 16:01:20 GMT 2025","4578","Products","","","","","You must authenticate and register a product",""
"passed","Wed Jan 29 16:01:30 GMT 2025","Wed Jan 29 16:01:35 GMT 2025","5172","Testing user creation","","","","","You must create a user without administrative access",""
"passed","Wed Jan 29 16:01:23 GMT 2025","Wed Jan 29 16:01:26 GMT 2025","2898","Products","","","","","Description cannot be blank",""
"passed","Wed Jan 29 16:01:44 GMT 2025","Wed Jan 29 16:01:46 GMT 2025","2004","Login Page","","","","","should log in successfully and show ""Bem Vindo""",""
"passed","Wed Jan 29 16:01:35 GMT 2025","Wed Jan 29 16:01:40 GMT 2025","4693","Testing user creation","","","","","You must create a user with administrative access",""
