"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 27 20:52:44 GMT 2025","Mon Jan 27 20:52:44 GMT 2025","251","Testing user creation flow, login, email change and Check product","","","","","Create a product and verify that the product was created",""
"passed","Mon Jan 27 20:52:39 GMT 2025","Mon Jan 27 20:52:40 GMT 2025","104","Contract Test for empty user listing","","","","","List of users",""
"passed","Mon Jan 27 20:52:25 GMT 2025","Mon Jan 27 20:52:26 GMT 2025","342","Testing user creation flow, login, email change","","","","","Change email",""
"passed","Mon Jan 27 20:52:30 GMT 2025","Mon Jan 27 20:52:30 GMT 2025","309","Testing user creation flow, login, create cart","","","","","Create cart",""
"passed","Mon Jan 27 20:52:35 GMT 2025","Mon Jan 27 20:52:35 GMT 2025","316","Testing user creation flow, login, delete product","","","","","create a product and delete it",""
