"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 29 15:47:01 GMT 2025","Wed Jan 29 15:47:01 GMT 2025","92","Contract Test for empty user listing","","","","","List of users",""
"passed","Wed Jan 29 15:46:47 GMT 2025","Wed Jan 29 15:46:47 GMT 2025","288","Testing user creation flow, login, email change","","","","","Change email",""
"passed","Wed Jan 29 15:46:52 GMT 2025","Wed Jan 29 15:46:52 GMT 2025","301","Testing user creation flow, login, create cart","","","","","Create cart",""
"passed","Wed Jan 29 15:46:56 GMT 2025","Wed Jan 29 15:46:57 GMT 2025","316","Testing user creation flow, login, delete product","","","","","create a product and delete it",""
"passed","Wed Jan 29 15:47:06 GMT 2025","Wed Jan 29 15:47:06 GMT 2025","277","Testing user creation flow, login, email change and Check product","","","","","Create a product and verify that the product was created",""
