"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 27 20:33:42 GMT 2025","Mon Jan 27 20:33:42 GMT 2025","464","Testing user creation flow, login, delete product","","","","","create a product and delete it",""
"passed","Mon Jan 27 20:33:52 GMT 2025","Mon Jan 27 20:33:52 GMT 2025","382","Testing user creation flow, login, email change and Check product","","","","","Create a product and verify that the product was created",""
"passed","Mon Jan 27 20:33:37 GMT 2025","Mon Jan 27 20:33:38 GMT 2025","472","Testing user creation flow, login, create cart","","","","","Create cart",""
"passed","Mon Jan 27 20:33:47 GMT 2025","Mon Jan 27 20:33:48 GMT 2025","121","Contract Test for empty user listing","","","","","List of users",""
"passed","Mon Jan 27 20:33:32 GMT 2025","Mon Jan 27 20:33:33 GMT 2025","421","Testing user creation flow, login, email change","","","","","Change email",""
