"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 28 15:39:17 GMT 2025","Tue Jan 28 15:39:18 GMT 2025","231","Testing user creation flow, login, email change and Check product","","","","","Create a product and verify that the product was created",""
"passed","Tue Jan 28 15:39:08 GMT 2025","Tue Jan 28 15:39:08 GMT 2025","262","Testing user creation flow, login, delete product","","","","","create a product and delete it",""
"passed","Tue Jan 28 15:38:58 GMT 2025","Tue Jan 28 15:38:58 GMT 2025","260","Testing user creation flow, login, email change","","","","","Change email",""
"passed","Tue Jan 28 15:39:03 GMT 2025","Tue Jan 28 15:39:03 GMT 2025","288","Testing user creation flow, login, create cart","","","","","Create cart",""
"passed","Tue Jan 28 15:39:13 GMT 2025","Tue Jan 28 15:39:13 GMT 2025","84","Contract Test for empty user listing","","","","","List of users",""
