"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 27 20:33:39 GMT 2025","Mon Jan 27 20:33:39 GMT 2025","101","Contract Test for empty user listing","","","","","List of users",""
"passed","Mon Jan 27 20:33:24 GMT 2025","Mon Jan 27 20:33:25 GMT 2025","304","Testing user creation flow, login, email change","","","","","Change email",""
"passed","Mon Jan 27 20:33:29 GMT 2025","Mon Jan 27 20:33:29 GMT 2025","368","Testing user creation flow, login, create cart","","","","","Create cart",""
"passed","Mon Jan 27 20:33:44 GMT 2025","Mon Jan 27 20:33:44 GMT 2025","295","Testing user creation flow, login, email change and Check product","","","","","Create a product and verify that the product was created",""
"passed","Mon Jan 27 20:33:34 GMT 2025","Mon Jan 27 20:33:34 GMT 2025","328","Testing user creation flow, login, delete product","","","","","create a product and delete it",""
