"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 29 16:22:41 GMT 2025","Wed Jan 29 16:22:42 GMT 2025","340","Testing user creation flow, login, delete product","","","","","create a product and delete it",""
"passed","Wed Jan 29 16:22:37 GMT 2025","Wed Jan 29 16:22:37 GMT 2025","358","Testing user creation flow, login, create cart","","","","","Create cart",""
"passed","Wed Jan 29 16:22:50 GMT 2025","Wed Jan 29 16:22:51 GMT 2025","296","Testing user creation flow, login, email change and Check product","","","","","Create a product and verify that the product was created",""
"passed","Wed Jan 29 16:22:32 GMT 2025","Wed Jan 29 16:22:32 GMT 2025","349","Testing user creation flow, login, email change","","","","","Change email",""
"passed","Wed Jan 29 16:22:46 GMT 2025","Wed Jan 29 16:22:46 GMT 2025","94","Contract Test for empty user listing","","","","","List of users",""
