"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 27 20:53:04 GMT 2025","Mon Jan 27 20:53:04 GMT 2025","199","Contract Test for empty user listing","","","","","List of users",""
"passed","Mon Jan 27 20:52:59 GMT 2025","Mon Jan 27 20:53:00 GMT 2025","494","Testing user creation flow, login, delete product","","","","","create a product and delete it",""
"passed","Mon Jan 27 20:52:54 GMT 2025","Mon Jan 27 20:52:55 GMT 2025","479","Testing user creation flow, login, create cart","","","","","Create cart",""
"passed","Mon Jan 27 20:53:09 GMT 2025","Mon Jan 27 20:53:09 GMT 2025","438","Testing user creation flow, login, email change and Check product","","","","","Create a product and verify that the product was created",""
"passed","Mon Jan 27 20:52:49 GMT 2025","Mon Jan 27 20:52:50 GMT 2025","443","Testing user creation flow, login, email change","","","","","Change email",""
