"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 31 21:21:39 GMT 2025","Fri Jan 31 21:21:41 GMT 2025","2468","Products","","","","","Description cannot be blank",""
"broken","Fri Jan 31 21:21:44 GMT 2025","Fri Jan 31 21:22:45 GMT 2025","60255","Testing user creation","","","","","You must create a user without administrative access",""
"passed","Fri Jan 31 21:22:48 GMT 2025","Fri Jan 31 21:22:49 GMT 2025","1679","Login Page","","","","","should log in successfully and show ""Bem Vindo""",""
"passed","Fri Jan 31 21:21:36 GMT 2025","Fri Jan 31 21:21:39 GMT 2025","2628","Products","","","","","Name is required",""
"skipped","Fri Jan 31 21:22:45 GMT 2025","Fri Jan 31 21:22:45 GMT 2025","20","Testing user creation","","","","","You must create a user with administrative access",""
"passed","Fri Jan 31 21:21:32 GMT 2025","Fri Jan 31 21:21:36 GMT 2025","4277","Products","","","","","You must authenticate and register a product",""
