"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 30 10:53:32 GMT 2025","Thu Jan 30 10:53:34 GMT 2025","2400","Products","","","","","Description cannot be blank",""
"passed","Thu Jan 30 10:53:29 GMT 2025","Thu Jan 30 10:53:32 GMT 2025","2407","Products","","","","","Name is required",""
"passed","Thu Jan 30 10:53:38 GMT 2025","Thu Jan 30 10:53:43 GMT 2025","4919","Testing user creation","","","","","You must create a user without administrative access",""
"passed","Thu Jan 30 10:53:52 GMT 2025","Thu Jan 30 10:53:54 GMT 2025","1690","Login Page","","","","","should log in successfully and show ""Bem Vindo""",""
"passed","Thu Jan 30 10:53:43 GMT 2025","Thu Jan 30 10:53:48 GMT 2025","4549","Testing user creation","","","","","You must create a user with administrative access",""
"passed","Thu Jan 30 10:53:24 GMT 2025","Thu Jan 30 10:53:29 GMT 2025","4927","Products","","","","","You must authenticate and register a product",""
