"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 29 13:39:37 GMT 2025","Wed Jan 29 13:39:39 GMT 2025","2602","Products","","","","","Description cannot be blank",""
"passed","Wed Jan 29 13:39:34 GMT 2025","Wed Jan 29 13:39:37 GMT 2025","2629","Products","","","","","Name is required",""
"passed","Wed Jan 29 13:39:29 GMT 2025","Wed Jan 29 13:39:34 GMT 2025","4801","Products","","","","","You must authenticate and register a product",""
"passed","Wed Jan 29 13:39:58 GMT 2025","Wed Jan 29 13:40:00 GMT 2025","1881","Login Page","","","","","should log in successfully and show ""Bem Vindo""",""
"passed","Wed Jan 29 13:39:49 GMT 2025","Wed Jan 29 13:39:54 GMT 2025","4749","Testing user creation","","","","","You must create a user with administrative access",""
"passed","Wed Jan 29 13:39:44 GMT 2025","Wed Jan 29 13:39:49 GMT 2025","5076","Testing user creation","","","","","You must create a user without administrative access",""
