"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 27 20:52:41 GMT 2025","Mon Jan 27 20:52:44 GMT 2025","2533","Products","","","","","Description cannot be blank",""
"passed","Mon Jan 27 20:52:39 GMT 2025","Mon Jan 27 20:52:41 GMT 2025","2348","Products","","","","","Name is required",""
"passed","Mon Jan 27 20:52:34 GMT 2025","Mon Jan 27 20:52:39 GMT 2025","4243","Products","","","","","You must authenticate and register a product",""
"passed","Mon Jan 27 20:52:53 GMT 2025","Mon Jan 27 20:52:58 GMT 2025","4633","Testing user creation","","","","","You must create a user with administrative access",""
"passed","Mon Jan 27 20:52:48 GMT 2025","Mon Jan 27 20:52:53 GMT 2025","4992","Testing user creation","","","","","You must create a user without administrative access",""
"passed","Mon Jan 27 20:53:02 GMT 2025","Mon Jan 27 20:53:04 GMT 2025","1708","Login Page","","","","","should log in successfully and show ""Bem Vindo""",""
