"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 27 21:00:00 GMT 2025","Mon Jan 27 21:00:04 GMT 2025","4705","Testing user creation","","","","","You must create a user with administrative access",""
"passed","Mon Jan 27 20:59:48 GMT 2025","Mon Jan 27 20:59:50 GMT 2025","2572","Products","","","","","Description cannot be blank",""
"passed","Mon Jan 27 21:00:09 GMT 2025","Mon Jan 27 21:00:11 GMT 2025","1911","Login Page","","","","","should log in successfully and show ""Bem Vindo""",""
"passed","Mon Jan 27 20:59:45 GMT 2025","Mon Jan 27 20:59:48 GMT 2025","2657","Products","","","","","Name is required",""
"passed","Mon Jan 27 20:59:40 GMT 2025","Mon Jan 27 20:59:45 GMT 2025","4764","Products","","","","","You must authenticate and register a product",""
"passed","Mon Jan 27 20:59:54 GMT 2025","Mon Jan 27 21:00:00 GMT 2025","5228","Testing user creation","","","","","You must create a user without administrative access",""
