"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 29 15:55:34 GMT 2025","Wed Jan 29 15:55:37 GMT 2025","2814","Products","","","","","Description cannot be blank",""
"passed","Wed Jan 29 15:55:32 GMT 2025","Wed Jan 29 15:55:34 GMT 2025","2593","Products","","","","","Name is required",""
"passed","Wed Jan 29 15:55:47 GMT 2025","Wed Jan 29 15:55:51 GMT 2025","4815","Testing user creation","","","","","You must create a user with administrative access",""
"passed","Wed Jan 29 15:55:41 GMT 2025","Wed Jan 29 15:55:47 GMT 2025","5120","Testing user creation","","","","","You must create a user without administrative access",""
"passed","Wed Jan 29 15:55:56 GMT 2025","Wed Jan 29 15:55:58 GMT 2025","1909","Login Page","","","","","should log in successfully and show ""Bem Vindo""",""
"passed","Wed Jan 29 15:55:27 GMT 2025","Wed Jan 29 15:55:32 GMT 2025","4628","Products","","","","","You must authenticate and register a product",""
