"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jan 31 21:25:07 GMT 2025","Fri Jan 31 21:26:08 GMT 2025","60262","Testing user creation","","","","","You must create a user without administrative access",""
"passed","Fri Jan 31 21:24:54 GMT 2025","Fri Jan 31 21:24:59 GMT 2025","4935","Products","","","","","You must authenticate and register a product",""
"passed","Fri Jan 31 21:25:02 GMT 2025","Fri Jan 31 21:25:04 GMT 2025","2328","Products","","","","","Description cannot be blank",""
"skipped","Fri Jan 31 21:26:08 GMT 2025","Fri Jan 31 21:26:08 GMT 2025","27","Testing user creation","","","","","You must create a user with administrative access",""
"passed","Fri Jan 31 21:24:59 GMT 2025","Fri Jan 31 21:25:02 GMT 2025","2647","Products","","","","","Name is required",""
"passed","Fri Jan 31 21:26:11 GMT 2025","Fri Jan 31 21:26:13 GMT 2025","2270","Login Page","","","","","should log in successfully and show ""Bem Vindo""",""
