"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Jan 29 12:47:59 GMT 2025","Wed Jan 29 12:47:59 GMT 2025","33","Testing user creation","","","","","You must create a user with administrative access",""
"passed","Wed Jan 29 12:46:45 GMT 2025","Wed Jan 29 12:46:49 GMT 2025","3881","Products","","","","","You must authenticate and register a product",""
"broken","Wed Jan 29 12:46:59 GMT 2025","Wed Jan 29 12:47:59 GMT 2025","60278","Testing user creation","","","","","You must create a user without administrative access",""
"passed","Wed Jan 29 12:46:52 GMT 2025","Wed Jan 29 12:46:55 GMT 2025","2457","Products","","","","","Description cannot be blank",""
"passed","Wed Jan 29 12:48:03 GMT 2025","Wed Jan 29 12:48:05 GMT 2025","1849","Login Page","","","","","should log in successfully and show ""Bem Vindo""",""
"passed","Wed Jan 29 12:46:49 GMT 2025","Wed Jan 29 12:46:52 GMT 2025","2706","Products","","","","","Name is required",""
