"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jan 31 20:37:00 GMT 2025","Fri Jan 31 20:37:01 GMT 2025","29","Testing user creation","","","","","You must create a user with administrative access",""
"passed","Fri Jan 31 20:35:51 GMT 2025","Fri Jan 31 20:35:54 GMT 2025","2600","Products","","","","","Name is required",""
"passed","Fri Jan 31 20:37:04 GMT 2025","Fri Jan 31 20:37:06 GMT 2025","2026","Login Page","","","","","should log in successfully and show ""Bem Vindo""",""
"passed","Fri Jan 31 20:35:46 GMT 2025","Fri Jan 31 20:35:51 GMT 2025","5082","Products","","","","","You must authenticate and register a product",""
"broken","Fri Jan 31 20:36:00 GMT 2025","Fri Jan 31 20:37:01 GMT 2025","60243","Testing user creation","","","","","You must create a user without administrative access",""
"passed","Fri Jan 31 20:35:54 GMT 2025","Fri Jan 31 20:35:56 GMT 2025","2372","Products","","","","","Description cannot be blank",""
