"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 29 15:26:14 GMT 2025","Wed Jan 29 15:26:19 GMT 2025","4709","Testing user creation","","","","","You must create a user with administrative access",""
"passed","Wed Jan 29 15:25:59 GMT 2025","Wed Jan 29 15:26:02 GMT 2025","2737","Products","","","","","Name is required",""
"passed","Wed Jan 29 15:25:55 GMT 2025","Wed Jan 29 15:25:59 GMT 2025","4756","Products","","","","","You must authenticate and register a product",""
"passed","Wed Jan 29 15:26:02 GMT 2025","Wed Jan 29 15:26:05 GMT 2025","2535","Products","","","","","Description cannot be blank",""
"passed","Wed Jan 29 15:26:09 GMT 2025","Wed Jan 29 15:26:14 GMT 2025","5149","Testing user creation","","","","","You must create a user without administrative access",""
"passed","Wed Jan 29 15:26:23 GMT 2025","Wed Jan 29 15:26:25 GMT 2025","1899","Login Page","","","","","should log in successfully and show ""Bem Vindo""",""
