"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 31 20:30:49 GMT 2025","Fri Jan 31 20:30:51 GMT 2025","2621","Products","","","","","Name is required",""
"passed","Fri Jan 31 20:30:51 GMT 2025","Fri Jan 31 20:30:54 GMT 2025","2514","Products","","","","","Description cannot be blank",""
"passed","Fri Jan 31 20:30:44 GMT 2025","Fri Jan 31 20:30:49 GMT 2025","4825","Products","","","","","You must authenticate and register a product",""
"passed","Fri Jan 31 20:31:03 GMT 2025","Fri Jan 31 20:31:08 GMT 2025","4617","Testing user creation","","","","","You must create a user with administrative access",""
"passed","Fri Jan 31 20:31:12 GMT 2025","Fri Jan 31 20:31:14 GMT 2025","1969","Login Page","","","","","should log in successfully and show ""Bem Vindo""",""
"passed","Fri Jan 31 20:30:58 GMT 2025","Fri Jan 31 20:31:03 GMT 2025","5262","Testing user creation","","","","","You must create a user without administrative access",""
