"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 29 13:45:59 GMT 2025","Wed Jan 29 13:46:01 GMT 2025","2608","Products","","","","","Name is required",""
"passed","Wed Jan 29 13:46:01 GMT 2025","Wed Jan 29 13:46:04 GMT 2025","2507","Products","","","","","Description cannot be blank",""
"passed","Wed Jan 29 13:45:53 GMT 2025","Wed Jan 29 13:45:58 GMT 2025","5455","Products","","","","","You must authenticate and register a product",""
